"time (s)","tir1_1_dmso","tir1_2_dmso","tir1_3_dmso","tir1_1_iaa","tir1_2_iaa","tir1_3_iaa","ccr4_1_dmso","ccr4_2_dmso","ccr4_3_dmso","ccr4_1_iaa","ccr4_2_iaa","ccr4_3_iaa","pop2_1_dmso","pop2_2_dmso","pop2_3_dmso","pop2_1_iaa","pop2_2_iaa","pop2_3_iaa","dcp2_1_dmso","dcp2_2_dmso","dcp2_3_dmso","dcp2_1_iaa","dcp2_2_iaa","dcp2_3_iaa"
0,0.1081,0.1054,0.1077,0.1065,0.1075,0.1049,0.1045,0.1064,0.1063,0.1061,0.1076,0.1075,0.1061,0.1064,0.1062,0.1062,0.1061,0.1078,0.1071,0.1052,0.1054,0.1053,0.1033,0.1065
434.827,0.1097,0.1057,0.1085,0.1073,0.1099,0.1081,0.1071,0.1091,0.107,0.1077,0.1112,0.1107,0.1068,0.107,0.107,0.1064,0.1083,0.1095,0.1081,0.1066,0.1058,0.1047,0.1064,0.108
869.608,0.1113,0.1062,0.11,0.1084,0.1105,0.1089,0.1065,0.1101,0.1079,0.1075,0.111,0.1118,0.1082,0.1068,0.1069,0.1077,0.1088,0.1103,0.11,0.1069,0.1059,0.1052,0.1049,0.1088
1304.467,0.1107,0.1069,0.1092,0.1081,0.1114,0.1105,0.108,0.1101,0.1081,0.1085,0.1118,0.1119,0.109,0.1075,0.1084,0.1091,0.1103,0.1111,0.1095,0.1067,0.1072,0.1058,0.1056,0.1097
1739.35,0.1107,0.108,0.11,0.1091,0.1127,0.1112,0.1095,0.1105,0.1088,0.109,0.1113,0.1125,0.1082,0.1064,0.1085,0.1086,0.1114,0.1115,0.1104,0.1072,0.1073,0.1057,0.106,0.1101
2174.21,0.1124,0.109,0.1105,0.1099,0.1143,0.1116,0.1085,0.1112,0.1105,0.1094,0.1126,0.1134,0.1092,0.1084,0.1095,0.1106,0.1122,0.1132,0.112,0.109,0.108,0.1062,0.1067,0.1117
2609.052,0.1124,0.1086,0.1117,0.1095,0.114,0.1128,0.11,0.1133,0.1096,0.1097,0.1127,0.1134,0.1106,0.1086,0.1098,0.1101,0.1127,0.1135,0.1111,0.1089,0.109,0.1077,0.108,0.1109
3043.932,0.1139,0.1104,0.1144,0.1114,0.1147,0.1127,0.1094,0.1118,0.1108,0.1103,0.1136,0.1139,0.1116,0.1093,0.1118,0.1113,0.1139,0.1148,0.1128,0.1095,0.109,0.1079,0.1086,0.1113
3478.801,0.1142,0.1106,0.115,0.1123,0.1168,0.1137,0.1111,0.1133,0.113,0.1111,0.1146,0.1148,0.1116,0.111,0.1126,0.1117,0.1134,0.115,0.1126,0.1098,0.1108,0.1078,0.109,0.112
3913.654,0.1145,0.1112,0.1152,0.1129,0.1181,0.1142,0.1108,0.1131,0.113,0.1127,0.1152,0.116,0.1119,0.1115,0.113,0.1124,0.1158,0.1164,0.1132,0.1108,0.1111,0.1084,0.1103,0.1121
4348.489,0.1167,0.1114,0.1156,0.1132,0.1172,0.1149,0.1121,0.1133,0.1138,0.114,0.1165,0.1175,0.114,0.112,0.1145,0.1132,0.117,0.1169,0.1142,0.1119,0.1111,0.11,0.1107,0.1132
4783.345,0.1172,0.1132,0.1168,0.1144,0.1185,0.1152,0.1129,0.1168,0.115,0.114,0.1166,0.118,0.1132,0.1132,0.1145,0.114,0.1158,0.1184,0.1139,0.1112,0.1119,0.1097,0.1114,0.1135
5218.141,0.1173,0.1142,0.1166,0.1142,0.1193,0.1167,0.1132,0.1164,0.1163,0.114,0.1174,0.1183,0.1144,0.1134,0.1155,0.1149,0.1175,0.1194,0.1181,0.1128,0.1126,0.1116,0.111,0.1145
5652.971,0.1189,0.1151,0.1169,0.1163,0.1202,0.1185,0.1142,0.117,0.1159,0.1149,0.1202,0.1203,0.1153,0.1138,0.1173,0.1162,0.1197,0.121,0.117,0.1134,0.1141,0.1116,0.1123,0.1145
