UNIQUE,ID,Name,Description,Sc_Beckmann2015,Sc_Kramer2014,Sc_Kramer2014_4sU,Sc_Matia-Gonzalez2015,Sc_Mitchell2012,Sc_Scherrer2010,Sc_Tsvetanova2010_Array,Sc_Tsvetanova2010_MS,Enzyme,Metabolism,Metabolic.Enzyme
AAP1,YHR047C,AAP1,"Arginine/alanine amino peptidase; overproduction stimulates glycogen accumulation; AAP1 has a paralog, APE2, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
AAT2,YLR027C,AAT2,Cytosolic aspartate aminotransferase involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ABP1,YCR088W,ABP1,"Actin-binding protein of the cortical actin cytoskeleton; important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization; inhibits barbed-end actin filament elongation; phosphorylation within its Proline-Rich Regio, mediated by Cdc28p and Pho85p, protects Abp1p from proteolysis mediated by its own PEST sequences; mammalian homologue of HIP-55 (hematopoietic progenitor kinase 1",YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ABP140,YOR239W,ABP140,AdoMet-dependent tRNA methyltransferase and actin binding protein; C-terminal domain is responsible for 3-methylcytidine modification of residue 32 of the tRNA anticodon loop of tRNA-Thr and tRNA-Ser and contains an S-adenosylmethionine (AdoMet) binding motif; N-terminal actin binding sequence interacts with actin filaments and localizes to actin patches and cables; N- and C-terminal domains are encoded in separate ORFs that are translated into one protein via a +1 frameshift,no,no,no,no,no,YES,no,no,TRUE,FALSE,FALSE
ACC1,YNR016C,ACC1,"Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication",YES,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ACO1,YLR304C,ACO1,Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ACS2,YLR153C,ACS2,"Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ACT1,YFL039C,ACT1,"Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions",YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
ADE12,YNL220W,ADE12,Adenylosuccinate synthase; catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ADE13,YLR359W,ADE13,Adenylosuccinate lyase; catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ADE16,YLR028C,ADE16,"Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE16 has a paralog, ADE17, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ADE17,YMR120C,ADE17,"Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE17 has a paralog, ADE16, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine",no,no,no,YES,no,YES,no,no,TRUE,FALSE,FALSE
ADE2,YOR128C,ADE2,Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine,no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADE3,YGR204W,ADE3,"Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase; involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADE4,YMR300C,ADE4,Phosphoribosylpyrophosphate amidotransferase (PRPPAT); catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway; also known as amidophosphoribosyltransferase,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
"ADE5,7",YGL234W,"ADE5,7",Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ADE6,YGR061C,ADE6,Formylglycinamidine-ribonucleotide (FGAM)-synthetase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ADH1,YOL086C,ADH1,"Alcohol dehydrogenase; fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; ADH1 has a paralog, ADH5, that arose from the whole genome duplication",YES,YES,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADH2,YMR303C,ADH2,Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1,no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADH3,YMR083W,ADH3,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production,no,YES,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADH5,YBR145W,ADH5,"Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADH6,YMR318C,ADH6,NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance; protein abundance increases in response to DNA replication stress,no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ADK1,YDR226W,ADK1,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress",YES,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ADO1,YJR105W,ADO1,Adenosine kinase; required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle,YES,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
AHA1,YDR214W,AHA1,Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress,YES,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
AHP1,YLR109W,AHP1,Thiol-specific peroxiredoxin; reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p,YES,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
AIM10,YER087W,AIM10,Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss,no,no,no,no,no,YES,no,no,TRUE,FALSE,FALSE
AIM17,YHL021C,AIM17,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss",no,no,no,YES,no,no,no,no,FALSE,TRUE,FALSE
AIM3,YBR108W,AIM3,Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
AIM45,YPR004C,AIM45,"Putative ortholog of mammalian ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response; ETF-alpha is an electron transfer flavoprotein complex subunit",no,no,no,YES,no,no,no,no,FALSE,TRUE,FALSE
AIM9,YER080W,AIM9,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
AIP1,YMR092C,AIP1,Actin cortical patch component; interacts with the actin depolymerizing factor cofilin; inhibits elongation of aged ADP-actin filaments decorated with cofilin to maintain a high level of assembly-competent actin species; required to restrict cofilin localization to cortical patches; putative regulator of cytokinesis; contains WD repeats; protein increases in abundance and relocalizes from cytoplasm to plasma membrane upon DNA replication stress,YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
AIR1,YIL079C,AIR1,"Zinc knuckle protein; involved in nuclear RNA processing and degradation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; AIR1 has a paralog, AIR2, that arose from the whole genome duplication; although Air1p and Air2p are homologous TRAMP subunits, they have nonredundant roles in regulation of substrate specificity of the exosome",YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
AIR2,YDL175C,AIR2,"RNA-binding subunit of the TRAMP nuclear RNA surveillance complex; involved in nuclear RNA processing and degradation; involved in TRAMP complex assembly as a bridge between Mtr4p and Trf4p; stimulates the poly(A) polymerase activity of Pap2p in vitro; has 5 zinc knuckle motifs; AIR2 has a paralog, AIR1, that arose from the whole genome duplication; Air2p and Air1p have nonredundant roles in regulation of substrate specificity of the exosome",YES,no,no,no,no,no,no,no,FALSE,FALSE,FALSE
AKL1,YBR059C,AKL1,Ser-Thr protein kinase; member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization,YES,no,no,no,no,no,no,no,TRUE,FALSE,FALSE
ALA1,YOR335C,ALA1,Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog,YES,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
ALD4,YOR374W,ALD4,Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol,YES,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ALD5,YER073W,ALD5,Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed,no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ALD6,YPL061W,ALD6,Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress,YES,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
ALG11,YNL048W,ALG11,"Alpha-1,2-mannosyltransferase; catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER",no,no,no,no,no,YES,no,no,TRUE,FALSE,FALSE
ALG6,YOR002W,ALG6,"Alpha 1,3 glucosyltransferase; involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; mutations in human ortholog are associated with disease",no,no,no,no,no,YES,no,no,TRUE,FALSE,FALSE
ALG9,YNL219C,ALG9,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes both the transfer of seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 congenital disorders of glycosylation",no,no,no,no,no,YES,no,no,TRUE,FALSE,FALSE
ALK1,YGL021W,ALK1,"Protein kinase; along with its paralog, ALK2, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins",no,no,no,no,no,YES,no,no,TRUE,FALSE,FALSE
ALO1,YML086C,ALO1,"D-Arabinono-1,4-lactone oxidase; catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress",no,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
AMD1,YML035C,AMD1,"AMP deaminase; tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; thought to be involved in regulation of intracellular purine (adenine, guanine, and inosine) nucleotide pools",no,no,no,YES,no,no,no,no,TRUE,TRUE,TRUE
AML1,YGR001C,AML1,Putative protein of unknown function; similar to methyltransferase family members; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in S. cerevisiae; expresses a circular RNA,no,no,no,YES,no,no,no,no,FALSE,FALSE,FALSE
APA1,YCL050C,APA1,"AP4A phosphorylase; bifunctional diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase and ADP sulfurylase involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; catalyzes phosphorolysis of dinucleoside oligophosphates, cleaving substrates' alpha/beta-anhydride bond and introducing Pi into the beta-position of the corresponding NDP formed; protein abundance increases under DNA replication stress; APA1 has a paralog, APA2, that arose from the whole genome duplication",YES,no,no,YES,no,no,no,no,TRUE,FALSE,FALSE
