"name","act_state","act_sd","inact_state","inact_sd","num_scrams","mean_scram_score","scram_sd","z_raw","z_adj","diff","hmm_state_diff","scram_diff"
"Ace2p_309_358",-0.223,0.235,-0.002,0.07,5,-0.449363572913114,0.32150447969276,0.154524134472807,0.263719588456708,-0.226363572913114,0.221,-0.226363572913114
"Aft1p_583_632",0.285,0.112,0.451,0.1,5,0.347155583028055,0.203277628424231,0.695847128552655,0.782264315976982,0.0621555830280554,0.166,0.0621555830280554
"Aft2p_281_330",-0.07,0.155,0.246,0.131,4,0.53271984470744,0.176662879675152,0.000150129834075959,0.000924410552412158,0.60271984470744,0.316,0.60271984470744
"Age2p_249_298",0.016,0.127,0.26,0.314,4,0.0876397701639857,0.163044523778381,0.652289361088002,0.759671497589354,0.0716397701639857,0.244,0.0716397701639857
"Aim44p_589_638",-0.395,0.447,0.654,0.315,2,0.541008453476913,0.0312719741467276,3.93031152788636e-09,5.80812703565428e-08,0.936008453476913,1.049,0.936008453476913
"Aim4p_74_123",-0.265,0.302,-0.132,0.146,4,0.655470203487268,0.34782895862974,7.06505594660274e-09,9.99630256274643e-08,0.920470203487268,0.133,0.920470203487268
"Air2p_295_344",-0.256,0.191,0.025,0.131,4,0.18324543390978,0.258390378030854,0.0057330833257913,0.0192650233446784,0.43924543390978,0.281,0.43924543390978
"Akl1p_637_686",-0.055,0.122,0.197,0.125,5,0.294773879517076,0.434221702336507,0.0278118091145306,0.0689007546142877,0.349773879517076,0.252,0.349773879517076
"Alr2p_274_323",-0.267,0.165,0.294,0.167,4,0.337184107145124,0.291581594378214,0.000144658616089109,0.000907528110370353,0.604184107145124,0.561,0.604184107145124
"Aly1p_560_609",-0.161,0.205,0.669,0.182,4,0.755674391814114,0.197730654565622,8.14176567547472e-09,1.10495391310014e-07,0.916674391814114,0.83,0.916674391814114
"Aly2p_225_274",-0.154,0.128,0.176,0.177,5,0.173778073516555,0.173664918484561,0.0392471332563503,0.0920771597445874,0.327778073516555,0.33,0.327778073516555
"App1p_41_90",-0.045,0.142,0.186,0.257,4,-0.225421697288828,0.170429535096206,0.256468903256889,0.379848152930582,-0.180421697288828,0.231,-0.180421697288828
"App1p_507_556",-0.286,0.18,0.252,0.142,5,-0.0574159903289187,0.194397245973075,0.15051993673198,0.260181927991716,0.228584009671081,0.538,0.228584009671081
"Aqy3p_111_160",-0.517,0.139,-0.19,0.172,4,-0.0456337533380032,0.416861393372347,0.00302982518796331,0.0112560544692492,0.471366246661997,0.327,0.471366246661997
"Aqy3p_131_180",-0.186,0.15,0.146,0.124,3,0.328004079013754,0.124234746856767,0.0012255344875098,0.00558205776845215,0.514004079013754,0.332,0.514004079013754
"Aqy3p_91_140",-0.432,0.178,-0.106,0.293,4,0.0474683390624765,0.298054048763441,0.00256425345872756,0.00980016408076914,0.479468339062476,0.326,0.479468339062476
"Asg1p_759_808",0.292,0.106,0.566,0.07,5,0.503253323364836,0.160026053066351,0.183948732359619,0.299573873891699,0.211253323364836,0.274,0.211253323364836
"Ash1p_158_207",-0.261,0.194,0.081,0.142,3,0.0970711824203398,0.347069184582797,0.0243148608049091,0.0614805415789526,0.35807118242034,0.342,0.35807118242034
"Ask10p_892_941",-0.328,0.182,0.227,0.178,5,-0.028187932783445,0.304330700915152,0.0593364802678953,0.126066323891854,0.299812067216555,0.555,0.299812067216555
"Avo1p_41_90",-0.859,0.415,0.43,0.208,5,0.495647312463948,0.286255628984939,1.5932970020452e-17,5.88634725755588e-16,1.35464731246395,1.289,1.35464731246395
"Azf1p_101_150",-0.094,0.128,0.201,0.105,5,0.201166404059295,0.160314568524597,0.0633862155723356,0.132137408638254,0.295166404059295,0.295,0.295166404059295
"Azf1p_161_210",-0.621,0.191,-0.107,0.221,5,-0.34551624119772,0.0970589995177742,0.0831530774575832,0.167104190322367,0.27548375880228,0.514,0.27548375880228
"Azf1p_251_300",-0.938,0.164,-0.335,0.197,5,-0.673485358653219,0.159547400285851,0.0961752040463638,0.186462130293971,0.264514641346781,0.603,0.264514641346781
"Azf1p_271_320",-0.533,0.254,-0.117,0.202,5,-0.75928756797833,0.150318923960072,0.154662615786641,0.263719588456708,-0.22628756797833,0.416,-0.22628756797833
"Azf1p_41_90",-0.253,0.181,0.195,0.21,5,0.233625724017578,0.399567992221346,0.00220841357961615,0.00875011753487479,0.486625724017578,0.448,0.486625724017578
"Azf1p_61_110",-0.323,0.197,0.058,0.178,5,-0.263973528155273,0.238652334420363,0.710450063389019,0.79137234866616,0.0590264718447269,0.381,0.0590264718447269
